service_id,date,exception_type
4,20140907,2
5,20140907,2
4,20140921,2
5,20140921,2
4364,20140907,1
4364,20140921,1
1,20140922,2
4366,20140922,1
1,20140924,2
4367,20140924,1
3,20140830,2
4,20140830,2
4405,20140830,1
1,20140901,2
4415,20140901,1
4,20140831,2
5,20140831,2
4416,20140831,1
1,20140903,2
1,20140904,2
1,20140910,2
1,20140911,2
1,20140923,2
4417,20140903,1
4417,20140904,1
4417,20140910,1
4417,20140911,1
4417,20140923,1
1,20140902,2
1,20140909,2
1,20140918,2
1,20140925,2
4418,20140902,1
4418,20140909,1
4418,20140918,1
4418,20140925,1
1,20140829,2
2,20140829,2
4419,20140829,1
