trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
5998854,07:04:00,07:04:00,108,1,0,0
5998854,07:07:00,07:07:00,106,2,0,0
5998854,07:10:00,07:10:00,105,3,0,0
5998854,07:26:00,07:26:00,4,4,1,0
5998854,07:39:00,07:39:00,1,5,0,0
5998855,07:22:00,07:22:00,108,1,0,0
5998855,07:26:00,07:26:00,106,2,0,0
5998855,07:30:00,07:30:00,105,3,0,0
5998855,07:59:00,07:59:00,1,4,0,0
5998856,07:53:00,07:53:00,108,1,0,0
5998856,07:56:00,07:56:00,106,2,0,0
5998856,07:59:00,07:59:00,105,3,0,0
5998856,08:15:00,08:15:00,4,4,1,0
5998856,08:28:00,08:28:00,1,5,0,0
5998857,08:17:00,08:17:00,108,1,0,0
5998857,08:20:00,08:20:00,106,2,0,0
5998857,08:23:00,08:23:00,105,3,0,0
5998857,08:39:00,08:39:00,4,4,1,0
5998857,08:52:00,08:52:00,1,5,0,0
5998858,08:14:00,08:14:00,112,1,0,0
5998858,08:17:00,08:17:00,111,2,0,0
5998858,08:20:00,08:20:00,110,3,0,0
5998858,08:41:00,08:41:00,4,4,1,0
5998858,08:54:00,08:54:00,1,5,0,0
5998859,08:33:00,08:33:00,112,1,0,0
5998859,08:36:00,08:36:00,111,2,0,0
5998859,08:39:00,08:39:00,110,3,0,0
5998859,08:43:00,08:43:00,108,4,0,0
5998859,08:46:00,08:46:00,106,5,0,0
5998859,08:49:00,08:49:00,105,6,0,0
5998859,09:17:00,09:17:00,1,7,0,0
5998860,08:52:00,08:52:00,112,1,0,0
5998860,08:55:00,08:55:00,111,2,0,0
5998860,08:58:00,08:58:00,110,3,0,0
5998860,09:02:00,09:02:00,108,4,0,0
5998860,09:05:00,09:05:00,106,5,0,0
5998860,09:08:00,09:08:00,105,6,0,0
5998860,09:17:00,09:17:00,56,7,1,0
5998860,09:26:00,09:26:00,4,8,1,0
5998860,09:38:00,09:38:00,1,9,0,0
5998861,09:26:00,09:26:00,112,1,0,0
5998861,09:29:00,09:29:00,111,2,0,0
5998861,09:32:00,09:32:00,110,3,0,0
5998861,09:36:00,09:36:00,108,4,0,0
5998861,09:39:00,09:39:00,106,5,0,0
5998861,09:42:00,09:42:00,105,6,0,0
5998861,09:51:00,09:51:00,56,7,1,0
5998861,10:00:00,10:00:00,4,8,1,0
5998861,10:11:00,10:11:00,1,9,0,0
5998862,09:53:00,09:53:00,112,1,0,0
5998862,09:56:00,09:56:00,111,2,0,0
5998862,09:59:00,09:59:00,110,3,0,0
5998862,10:03:00,10:03:00,108,4,0,0
5998862,10:06:00,10:06:00,106,5,0,0
5998862,10:09:00,10:09:00,105,6,0,0
5998862,10:18:00,10:18:00,56,7,1,0
